Дата,Средняя температура
2018-04-03,-0.2
2018-04-03,-0.5
2018-04-03,-0.6
2018-04-03,-2.7
2018-04-03,-4.3
2018-04-03,-4.2
2018-04-02,-3.3
2018-04-02,-4.1
2018-04-02,-3.7
2018-04-02,-1.8
2018-04-02,-2.4
2018-04-02,-6.7
2018-04-02,-10.1
2018-04-02,-10.0
2018-04-01,-8.6
2018-04-01,-6.0
2018-04-01,-2.8
2018-04-01,-1.3
2018-04-01,-4.8
2018-04-01,-12.0
2018-04-01,-13.5
2018-04-01,-12.5
2018-03-31,-9.7
2018-03-31,-6.5
2018-03-31,-3.5
2018-03-31,-3.5
2018-03-31,-5.0
2018-03-31,-9.8
2018-03-31,-13.9
2018-03-31,-12.1
2018-03-30,-10.0
2018-03-30,-7.8
2018-03-30,-7.8
2018-03-30,-6.2
2018-03-30,-5.3
2018-03-30,-4.1
2018-03-30,-2.5
2018-03-30,-1.2
2018-03-29,-0.2
2018-03-29,0.7
2018-03-29,1.09
2018-03-29,2.01
2018-03-29,1.04
2018-03-29,-1.1
2018-03-29,-2.1
2018-03-29,-0.8
2018-03-28,-0.4
2018-03-28,-0.1
2018-03-28,0.5
2018-03-28,0.0
2018-03-28,-2.2
2018-03-28,-5.4
2018-03-28,-6.5
2018-03-28,-5.3
2018-03-27,-4.9
2018-03-27,-2.7
2018-03-27,-0.5
2018-03-27,-0.5
2018-03-27,-0.4
2018-03-27,-2.7
